alloc_id,resource_request_id,amount_requested,is_active,resource_id,pid
1,7920,87,false,391,407
2,8566,24,false,493,125
3,845,41,true,127,175
4,3355,78,false,314,18
5,5359,81,true,194,398
6,1414,50,false,444,135
7,2082,27,true,253,467
8,4991,48,true,189,22
9,8403,95,false,243,472
10,6874,85,true,141,465
11,4668,38,false,329,264
12,7663,44,false,80,428
13,5024,93,true,489,256
14,7622,80,true,215,300
15,6725,27,true,115,264
16,5053,92,false,209,499
17,4677,60,true,59,99
18,9092,52,true,228,383
19,77,86,true,100,158
20,7048,90,false,393,207
21,5641,34,false,99,397
22,1418,30,false,32,86
23,4253,29,false,108,488
24,56,18,true,1,436
25,2388,65,false,2,15
26,4529,45,false,34,60
27,9536,80,true,197,131
28,2231,79,false,383,316
29,5902,34,true,116,270
30,7877,76,false,424,451
31,8614,16,true,73,24
32,654,41,true,221,59
33,7153,34,true,77,300
34,9296,73,true,356,248
35,7482,76,false,21,87
36,2865,61,false,9,475
37,4429,90,true,242,32
38,7608,39,false,6,62
39,9243,80,true,234,100
40,3125,1,false,198,469
41,5222,55,false,445,309
42,4033,25,false,314,463
43,8262,70,true,494,17
44,3049,69,true,140,39
45,1269,74,true,282,69
46,4858,70,false,433,209
47,7939,58,false,365,39
48,2919,21,false,145,183
49,1300,38,true,352,259
50,6247,96,true,200,429
51,4363,58,false,391,269
52,3079,62,true,273,478
53,643,14,false,389,180
54,8480,68,true,255,336
55,4672,11,false,289,483
56,4751,2,false,230,498
57,4839,86,false,28,168
58,3251,88,false,244,289
59,8158,11,false,330,286
60,3097,5,true,276,103
61,5528,22,false,217,455
62,8940,62,true,34,445
63,5372,32,true,163,38
64,3803,11,true,52,59
65,5964,26,true,183,475
66,9904,89,true,146,320
67,2136,47,true,66,498
68,149,32,false,332,312
69,567,18,false,100,47
70,2177,58,true,314,296
71,1456,27,true,124,116
72,8667,87,false,78,355
73,9215,31,false,149,81
74,8643,75,false,450,244
75,5289,96,false,219,372
76,9637,25,true,223,367
77,6352,49,false,389,416
78,2013,21,false,22,401
79,507,43,true,477,339
80,9379,46,false,24,201
81,2623,13,false,224,223
82,1496,28,false,353,90
83,9508,63,false,229,277
84,543,69,true,466,151
85,5790,93,false,450,434
86,5422,80,true,447,192
87,28,77,true,66,492
88,5332,70,true,262,69
89,187,48,true,37,185
90,6007,4,true,14,450
91,204,46,false,258,453
92,931,17,true,411,225
93,8058,24,true,473,39
94,1715,94,true,144,484
95,8002,73,true,133,409
96,7577,36,true,388,11
97,3174,8,false,40,492
98,9223,16,true,371,277
99,4042,78,false,62,189
100,2279,13,true,364,15
101,2963,97,false,327,417
102,8504,61,false,496,242
103,4329,54,false,364,71
104,161,71,true,428,273
105,7007,30,true,322,485
106,5666,95,false,93,486
107,6142,64,true,182,481
108,9507,41,true,166,280
109,317,41,true,46,61
110,7587,49,false,192,27
111,1620,84,false,400,297
112,7635,79,false,451,267
113,8407,27,false,500,125
114,867,4,true,113,384
115,8069,49,false,64,155
116,3805,9,true,140,145
117,7611,17,true,469,55
118,9065,78,false,432,390
119,2627,89,false,422,6
120,4243,62,true,485,80
121,3925,29,false,298,287
122,4167,23,true,412,158
123,9986,76,false,490,214
124,8957,100,true,278,345
125,2245,38,true,9,297
126,656,58,true,366,402
127,7171,18,false,170,283
128,5718,52,true,466,141
129,5397,63,false,451,306
130,5544,30,false,451,280
131,4429,88,true,237,389
132,8245,13,false,214,362
133,4726,90,false,13,316
134,5532,80,false,272,216
135,5391,44,false,34,60
136,1623,99,false,4,365
137,9258,70,true,137,454
138,2646,57,false,476,352
139,9721,49,false,86,134
140,9828,34,false,460,488
141,2259,63,false,484,322
142,4789,4,false,189,336
143,4611,42,true,319,328
144,5253,23,false,272,455
145,9165,93,true,430,84
146,9161,63,true,233,136
147,7821,32,true,318,83
148,5818,4,true,298,199
149,3074,34,false,382,434
150,2489,52,false,299,242
151,5952,39,false,206,170
