exe_id,file_path,version,file_size_kb
1,/usr/sbin/ufw,4.0.0,15
2,/usr/bin/perl,2.2.0,5
3,/usr/sbin/dnsmasq,2.4.52,20
4,/usr/local/bin/mongod,1.5.0,50
5,/opt/microsoft/powershell/pwsh,5.0.0,52
6,/usr/bin/java,22.04.1-LTS,73
7,/usr/bin/zip,3.1.2,14
8,/usr/bin/docker,3.10.12,91
9,/usr/bin/ffmpeg,0.9.8,87
10,/usr/sbin/cron,2.1.0-rc1,31
11,/usr/local/bin/postgres,5.5.5,7
12,/usr/bin/make,5.4.0,83
13,/usr/sbin/sshd,1.1.0,5
14,/usr/bin/grep,1.4.2-hotfix,86
15,/usr/bin/htop,11.0.21,21
16,/usr/local/bin/node,3.10.12,20
17,/opt/vscode/code,1.0.0-build442,53
18,/usr/sbin/dnsmasq,1.5.0,48
19,/usr/bin/gcc,2.0.1-final,46
20,/usr/bin/perl,0.2.4,42
21,/usr/bin/ffmpeg,17.0.8,73
22,/usr/local/bin/postgres,0.9.8,36
23,/usr/bin/zip,5.0.0,99
24,/usr/sbin/dnsmasq,3.3.3,60
25,/usr/local/bin/terraform,4.0.0,93
26,/usr/local/bin/nginx,5.5.5,38
27,/bin/bash,1.0.1,68
28,/usr/bin/unzip,1.25.3,98
29,/usr/bin/strace,3.0.0,86
30,/usr/bin/strace,1.0.0-build442,56
31,/opt/slack/slack,11.0.21,26
32,/usr/bin/ruby,1.0.0-build442,31
33,/opt/slack/slack,2.0.0,73
34,/usr/bin/lsof,1.0.0-build882,40
35,/usr/bin/python3,5.4.0,56
36,/usr/bin/htop,1.0.1,58
37,/usr/local/bin/terraform,1.0.0-build882,33
38,/usr/sbin/ufw,7.4.33,82
39,/usr/local/bin/redis-server,23.10,25
40,/usr/bin/ssh-agent,1.0.1,64
41,/usr/bin/docker,6.2.0,15
42,/usr/bin/make,5.5.5,56
43,/opt/microsoft/powershell/pwsh,17.0.8,38
44,/usr/local/bin/mongod,1.25.3,61
45,/usr/bin/ssh-agent,2.0.1-final,25
