pid,process_name,start_time,status,user_id,exe_id,parent_pid
1,ufw,2025-07-04 20:06:27,Stopped,453,1,95
2,perl,2025-07-09 01:32:21,Idle,421,2,70
3,dnsmasq,2025-07-02 05:23:05,Zombie,74,3,
4,mongod,2025-07-22 06:15:45,Idle,440,4,
5,pwsh,2025-10-01 12:39:46,Running,445,5,90
6,java,2026-03-12 23:07:53,Sleeping,490,6,18
7,zip,2025-10-14 12:15:38,Stopped,245,7,96
8,docker,2025-12-04 16:32:58,Idle,445,8,56
9,ffmpeg,2025-04-06 02:18:10,Zombie,257,9,37
10,cron,2025-10-25 01:23:33,Sleeping,447,10,
11,postgres,2025-04-24 10:31:17,Sleeping,29,11,92
12,make,2026-01-16 14:24:42,Running,69,12,38
13,sshd,2025-12-23 11:04:15,Stopped,394,13,23
14,grep,2025-08-05 22:46:29,Zombie,291,14,15
15,htop,2026-03-13 17:20:40,Zombie,263,15,60
16,node,2026-02-26 10:47:13,Stopped,127,16,67
17,code,2025-08-20 08:29:57,Stopped,440,17,
18,dnsmasq,2026-01-11 09:08:32,Sleeping,479,18,
19,gcc,2026-01-06 16:08:50,Running,191,19,46
20,perl,2025-04-21 20:58:27,Stopped,354,20,12
21,ffmpeg,2025-10-23 12:56:34,Idle,476,21,95
22,postgres,2025-11-17 15:37:30,Zombie,381,22,60
23,zip,2025-09-14 13:50:17,Sleeping,336,23,
24,dnsmasq,2026-03-21 13:54:46,Running,95,24,7
25,terraform,2025-11-26 07:58:09,Stopped,382,25,21
26,nginx,2025-07-25 00:22:05,Idle,194,26,100
27,bash,2025-06-03 09:21:38,Stopped,356,27,
28,unzip,2025-05-20 19:28:51,Stopped,65,28,18
29,strace,2025-05-09 20:33:57,Running,211,29,29
30,strace,2025-04-05 12:14:32,Idle,150,30,31
31,slack,2025-12-04 01:44:03,Sleeping,98,31,43
32,ruby,2025-09-10 21:36:47,Running,6,32,99
33,slack,2025-04-18 01:46:33,Stopped,233,33,38
34,lsof,2025-10-03 16:52:28,Idle,167,34,4
35,python3,2025-12-04 10:55:11,Running,329,35,36
36,htop,2025-05-08 11:47:10,Zombie,407,36,50
