event_id,event_type,severity,description,pid
1,Garbage_Collection_Start,Warning,,83
2,Out_Of_Memory_Kill,Info,,23
3,Database_Connection_Established,Critical,,66
4,Zombie_Process_Cleanup,Info,,47
5,Process_Started,Error,,79
6,Buffer_Overflow_Attempt,Critical,,77
7,Input_Validation_Error,Error,,67
8,File_Lock_Acquired,Warning,,80
9,Resource_Allocation_Failed,Info,,8
10,Cache_Miss_Spike,Warning,,40
11,Resource_Allocation_Failed,Warning,,100
12,Database_Connection_Established,Warning,,24
13,API_Rate_Limit_Exceeded,Info,,31
14,Input_Validation_Error,Critical,,57
15,Cron_Job_Triggered,Warning,,40
16,Stack_Overflow_Detected,Info,,48
17,Cache_Miss_Spike,Info,,95
18,Process_Started,Info,,57
19,User_Login_Session,Critical,,44
20,Security_Audit_Failure,Info,,23
21,Memory_Threshold_Reached,Critical,,28
22,Network_Socket_Closed,Warning,,92
23,Security_Audit_Failure,Info,,50
24,Resource_Allocation_Failed,Info,,49
25,Integrity_Check_Failed,Error,,35
26,Resource_Allocation_Failed,Critical,,30
27,Process_Started,Warning,,66
28,Debug_Snapshot_Created,Warning,,69
29,Garbage_Collection_Start,Warning,,57
30,Log_Rotation_Triggered,Warning,,69
31,Zombie_Process_Cleanup,Warning,,23
32,Permission_Denied,Info,,52
33,Encryption_Key_Rotated,Warning,,35
34,Database_Connection_Lost,Error,,37
35,Garbage_Collection_Start,Critical,,57
36,Power_State_Change,Error,,83
37,Memory_Threshold_Reached,Warning,,65
38,Debug_Snapshot_Created,Error,,51
39,Debug_Snapshot_Created,Info,,85
40,High_CPU_Usage,Error,,13
41,Security_Audit_Failure,Critical,,83
42,Cache_Miss_Spike,Error,,68
43,File_Lock_Acquired,Error,,1
44,Latency_Spike_Detected,Error,,48
45,Integrity_Check_Failed,Error,,40
46,Memory_Threshold_Reached,Error,,21
47,File_Lock_Released,Info,,68
48,Idle_Timeout_Reached,Info,,34
49,Permission_Denied,Warning,,57
50,Idle_Timeout_Reached,Info,,37
51,Input_Validation_Error,Critical,,80
52,Garbage_Collection_Start,Info,,90
53,Cache_Miss_Spike,Warning,,38
54,File_Lock_Released,Warning,,38
55,Process_Terminated,Info,,61
56,Process_Started,Critical,,41
57,Garbage_Collection_End,Info,,12
58,Stack_Overflow_Detected,Info,,82
59,High_CPU_Usage,Info,,77
60,Integrity_Check_Passed,Info,,5
