log_id,snapshot_time,cpu_percent,ram_usage_mb,pid
1,2026-04-09 22:36:39,15.45,8396,338
2,2026-04-09 22:36:44,72.69,13495,28
3,2026-04-09 22:36:49,13.97,315,370
4,2026-04-09 22:36:54,36.38,11103,455
5,2026-04-09 22:36:59,30.93,527,405
6,2026-04-09 22:37:04,34.55,3646,453
7,2026-04-09 22:37:09,85.18,14339,395
8,2026-04-09 22:37:14,80.99,12838,432
9,2026-04-09 22:37:19,83.57,1427,195
10,2026-04-09 22:37:24,79.91,10598,116
11,2026-04-09 22:37:29,60.09,15833,419
12,2026-04-09 22:37:34,59.71,1720,300
13,2026-04-09 22:37:39,64.72,15825,435
14,2026-04-09 22:37:44,26.9,16347,389
15,2026-04-09 22:37:49,57.26,8842,125
16,2026-04-09 22:37:54,86.96,10952,323
17,2026-04-09 22:37:59,56.75,11469,494
18,2026-04-09 22:38:04,65.35,9971,435
19,2026-04-09 22:38:09,14.47,14380,439
20,2026-04-09 22:38:14,6.92,13180,42
21,2026-04-09 22:38:19,20.9,10258,286
22,2026-04-09 22:38:24,37.63,11415,186
23,2026-04-09 22:38:29,74.51,2763,278
24,2026-04-09 22:38:34,12.74,5602,20
25,2026-04-09 22:38:39,69.41,2435,283
26,2026-04-09 22:38:44,64.63,7849,328
27,2026-04-09 22:38:49,7.64,4842,312
28,2026-04-09 22:38:54,27.41,14189,188
29,2026-04-09 22:38:59,2.76,281,252
30,2026-04-09 22:39:04,4.95,8354,115
31,2026-04-09 22:39:09,12.86,6956,147
32,2026-04-09 22:39:14,60.61,6612,436
33,2026-04-09 22:39:19,88.7,6254,69
34,2026-04-09 22:39:24,63.38,755,488
35,2026-04-09 22:39:29,63.29,15531,279
36,2026-04-09 22:39:34,55.01,12588,37
37,2026-04-09 22:39:39,39.81,482,276
38,2026-04-09 22:39:44,24.1,2813,286
39,2026-04-09 22:39:49,5.88,4273,237
40,2026-04-09 22:39:54,83.16,5976,179
41,2026-04-09 22:39:59,71.28,2302,459
42,2026-04-09 22:40:04,93.38,7394,257
43,2026-04-09 22:40:09,37.41,2813,290
44,2026-04-09 22:40:14,10.16,850,120
45,2026-04-09 22:40:19,94.36,10258,421
46,2026-04-09 22:40:24,80.54,9626,195
47,2026-04-09 22:40:29,63.71,12098,308
48,2026-04-09 22:40:34,46.7,10164,288
49,2026-04-09 22:40:39,10.58,6736,11
50,2026-04-09 22:40:44,59.03,15956,403
51,2026-04-09 22:40:49,12.9,8920,184
52,2026-04-09 22:40:54,77.99,13104,405
53,2026-04-09 22:40:59,62.36,9547,392
54,2026-04-09 22:41:04,18.65,9670,407
55,2026-04-09 22:41:09,78.23,9877,289
56,2026-04-09 22:41:14,60.1,2459,446
57,2026-04-09 22:41:19,56.5,8544,59
58,2026-04-09 22:41:24,94.64,8323,126
59,2026-04-09 22:41:29,23.58,6405,451
60,2026-04-09 22:41:34,40.63,7007,495
61,2026-04-09 22:41:39,72.05,9706,479
62,2026-04-09 22:41:44,92.34,14264,348
63,2026-04-09 22:41:49,84.14,12319,60
64,2026-04-09 22:41:54,66.11,8795,31
65,2026-04-09 22:41:59,97.62,2700,391
66,2026-04-09 22:42:04,3.15,4671,187
67,2026-04-09 22:42:09,66.08,12287,298
68,2026-04-09 22:42:14,9.18,12909,317
69,2026-04-09 22:42:19,93.92,3008,119
70,2026-04-09 22:42:24,81.27,6929,137
71,2026-04-09 22:42:29,72.83,826,61
72,2026-04-09 22:42:34,88.51,3544,133
73,2026-04-09 22:42:39,82.51,13975,263
74,2026-04-09 22:42:44,82.84,1232,208
75,2026-04-09 22:42:49,39.36,12544,477
76,2026-04-09 22:42:54,69.51,10128,232
77,2026-04-09 22:42:59,80.37,12293,396
78,2026-04-09 22:43:04,11.21,14751,33
79,2026-04-09 22:43:09,17.88,2618,308
80,2026-04-09 22:43:14,78.67,16047,205
81,2026-04-09 22:43:19,23.88,5664,457
82,2026-04-09 22:43:24,97.73,15283,417
83,2026-04-09 22:43:29,58.43,5900,37
84,2026-04-09 22:43:34,44.38,15582,127
85,2026-04-09 22:43:39,16.82,15645,262
86,2026-04-09 22:43:44,46.34,4522,73
87,2026-04-09 22:43:49,96.61,10715,134
88,2026-04-09 22:43:54,90.35,13028,64
89,2026-04-09 22:43:59,18.84,9283,108
90,2026-04-09 22:44:04,22.77,4021,212
91,2026-04-09 22:44:09,56.42,11641,247
92,2026-04-09 22:44:14,85.05,16141,217
93,2026-04-09 22:44:19,41.14,6115,252
94,2026-04-09 22:44:24,97.46,9934,181
95,2026-04-09 22:44:29,74.8,1414,135
96,2026-04-09 22:44:34,73.06,14364,232
97,2026-04-09 22:44:39,55.69,16027,364
98,2026-04-09 22:44:44,80.17,7740,364
99,2026-04-09 22:44:49,8.72,6946,498
100,2026-04-09 22:44:54,82.3,3114,92
101,2026-04-09 22:44:59,89.68,2124,488
102,2026-04-09 22:45:04,82.58,8054,309
103,2026-04-09 22:45:09,73.04,4057,232
104,2026-04-09 22:45:14,14.27,4528,3
105,2026-04-09 22:45:19,55.94,250,5
106,2026-04-09 22:45:24,92.69,13302,157
107,2026-04-09 22:45:29,29.98,8987,390
108,2026-04-09 22:45:34,91.13,10716,326
109,2026-04-09 22:45:39,52.11,8559,263
110,2026-04-09 22:45:44,7.13,2626,348
111,2026-04-09 22:45:49,49.69,12962,288
112,2026-04-09 22:45:54,12.43,4646,203
113,2026-04-09 22:45:59,71.57,7194,72
114,2026-04-09 22:46:04,2.78,10032,125
115,2026-04-09 22:46:09,9.21,8199,66
116,2026-04-09 22:46:14,2.88,6144,200
117,2026-04-09 22:46:19,54.67,12632,151
118,2026-04-09 22:46:24,69.61,7568,308
119,2026-04-09 22:46:29,69.53,8133,469
120,2026-04-09 22:46:34,63.81,8568,195
121,2026-04-09 22:46:39,20.64,12311,110
122,2026-04-09 22:46:44,64.25,8774,265
123,2026-04-09 22:46:49,92.01,13651,486
124,2026-04-09 22:46:54,10.21,9673,478
125,2026-04-09 22:46:59,60.72,2727,381
126,2026-04-09 22:47:04,75.3,14343,207
127,2026-04-09 22:47:09,70.91,2634,422
128,2026-04-09 22:47:14,56.03,1118,204
129,2026-04-09 22:47:19,87.29,11229,211
130,2026-04-09 22:47:24,16.83,4986,48
131,2026-04-09 22:47:29,94.76,11860,170
132,2026-04-09 22:47:34,20.79,13733,380
133,2026-04-09 22:47:39,46.18,1385,324
134,2026-04-09 22:47:44,23.12,11976,66
135,2026-04-09 22:47:49,76.22,16244,210
136,2026-04-09 22:47:54,96.9,887,55
137,2026-04-09 22:47:59,68.32,1414,434
138,2026-04-09 22:48:04,16.05,10905,38
139,2026-04-09 22:48:09,88.43,7352,300
140,2026-04-09 22:48:14,40.16,14544,70
141,2026-04-09 22:48:19,40.04,158,238
142,2026-04-09 22:48:24,62.46,13674,138
143,2026-04-09 22:48:29,17.39,3731,134
144,2026-04-09 22:48:34,29.9,5857,117
145,2026-04-09 22:48:39,37.06,3449,442
146,2026-04-09 22:48:44,27.84,4369,401
147,2026-04-09 22:48:49,33.77,8346,413
148,2026-04-09 22:48:54,85.45,12072,41
149,2026-04-09 22:48:59,1.88,1831,385
150,2026-04-09 22:49:04,57.28,3985,402
151,2026-04-09 22:49:09,14.74,6142,452
152,2026-04-09 22:49:14,6.44,4761,208
153,2026-04-09 22:49:19,72.77,13582,123
154,2026-04-09 22:49:24,79.73,2709,266
155,2026-04-09 22:49:29,15.51,15358,176
156,2026-04-09 22:49:34,34.41,9802,372
157,2026-04-09 22:49:39,94.04,9099,274
158,2026-04-09 22:49:44,85.96,211,477
159,2026-04-09 22:49:49,3.2,6786,366
160,2026-04-09 22:49:54,26.19,3851,232
161,2026-04-09 22:49:59,30.6,14256,160
162,2026-04-09 22:50:04,33.7,5717,199
163,2026-04-09 22:50:09,35.55,14407,476
164,2026-04-09 22:50:14,68.29,3111,66
165,2026-04-09 22:50:19,1.24,5706,90
166,2026-04-09 22:50:24,64.38,13182,96
167,2026-04-09 22:50:29,72.4,14559,468
168,2026-04-09 22:50:34,44.96,7145,83
169,2026-04-09 22:50:39,77.07,13632,175
170,2026-04-09 22:50:44,97.33,12525,462
171,2026-04-09 22:50:49,8.53,11589,264
172,2026-04-09 22:50:54,59.92,12950,481
173,2026-04-09 22:50:59,4.17,6010,183
174,2026-04-09 22:51:04,90.69,2839,293
175,2026-04-09 22:51:09,75.92,3939,379
176,2026-04-09 22:51:14,84.26,15204,434
177,2026-04-09 22:51:19,11.11,1303,490
178,2026-04-09 22:51:24,7.48,4558,491
179,2026-04-09 22:51:29,96.38,5732,436
180,2026-04-09 22:51:34,66.49,3116,392
181,2026-04-09 22:51:39,20.4,12237,256
182,2026-04-09 22:51:44,86.49,3031,77
183,2026-04-09 22:51:49,32.79,674,344
184,2026-04-09 22:51:54,21.74,6011,6
185,2026-04-09 22:51:59,55.94,6414,147
186,2026-04-09 22:52:04,42.4,8596,229
187,2026-04-09 22:52:09,73.24,12933,357
188,2026-04-09 22:52:14,43.86,15736,85
189,2026-04-09 22:52:19,81.16,2084,53
190,2026-04-09 22:52:24,70.63,533,91
191,2026-04-09 22:52:29,59.46,10185,427
192,2026-04-09 22:52:34,47.03,8233,336
193,2026-04-09 22:52:39,69.65,10322,159
194,2026-04-09 22:52:44,40.19,12197,56
195,2026-04-09 22:52:49,77.58,10620,23
196,2026-04-09 22:52:54,95.54,15215,314
197,2026-04-09 22:52:59,59.5,15729,235
198,2026-04-09 22:53:04,75.52,2501,171
199,2026-04-09 22:53:09,38.82,10602,344
200,2026-04-09 22:53:14,69.93,15920,388
201,2026-04-09 22:53:19,55.61,4237,262
202,2026-04-09 22:53:24,16.51,3265,217
203,2026-04-09 22:53:29,36.36,204,29
